Ticker,Description,Sector,Upcoming Earnings Date,Yearly Performance,Market Capitalization,Recent Earnings Date,Shares Float,6-Month Performance,Average Volume (10 day),Price,Average Day Range (14),Exponential Moving Average (20),Simple Moving Average (50),"MACD Level (12, 26)","MACD Signal (12, 26)",Simple Moving Average (200),1-Month High,3-Month High,52 Week High,3-Month Low,6-Month High,6-Month Low,52 Week Low,1-Month Low,3-Month Performance,"Change 1W, %","Change 1M, %",Change %
AAPL,Apple Inc.,Electronic Technology,2025-04-24,28.510712622263625,3315822291652.1265,2025-01-30,15008384822.7,-1.8672475881385395,59234002.29999931,220.73,6.302935714285553,223.88942333182595,231.47959999999995,-5.908393001105054,-5.308682621732561,228.48684999999986,250,260.1,260.1,208.42,260.1,208.42,164.075,208.42,-13.6052291674821,1.1270444861868234,-8.728911677141918,1.1270444861868234
NVDA,NVIDIA Corporation,Electronic Technology,2025-05-28,33.211178284197004,2962403923189.8657,2025-02-26,23422877600,-0.49991804622193037,282768943.4000017,121.41,4.538507142857114,119.52593652169396,126.56380000000007,-2.581625007008398,-3.6493879974332115,127.78795499999993,138.59,153.13,153.13,104.77,153.13,104.77,75.606,104.77,-13.278571428571432,3.152081563296511,-2.809798270893376,3.152081563296511
MSFT,Microsoft Corporation,Technology Services,2025-04-29,-8.522224808005587,2922149691391.836,2025-01-29,7324618720.22,-8.549891817695368,23535636.6,393.08,8.345578571428518,392.26407948435775,408.31620000000026,-5.553674035706763,-7.219946145179938,423.24939999999987,409.37,448.38,468.35,376.91,456.1648,376.91,376.91,376.91,-9.564017025192681,0.4651638296784729,-0.9849114587269263,0.4651638296784729
AMZN,"Amazon.com, Inc.",Retail Trade,2025-04-24,14.350330797965695,2154094371794.719,2025-02-06,9476844857.199999,4.908387096774189,44485169.50000001,203.26,5.834571428571536,202.69265775265623,218.25400000000005,-6.330867107625238,-7.283423027113192,199.8879000000001,219.97,242.52,242.52,189.38,242.52,180.25,151.61,189.38,-10.434476072970833,3.593089037255992,-4.249104955718867,3.593089037255992
GOOG,Alphabet Inc.,Technology Services,2025-04-29,13.105697550585727,2055985734467.6475,2025-02-04,5104008476,4.270724673252751,21342057.899999935,169.93,4.399671428571082,171.02440341151382,183.94680000000037,-4.8842522563520845,-5.521502411497118,176.7773000000001,185.09,208.7,208.7,158.8,208.7,158.8,148.2,158.8,-13.376153336391896,2.21353383458647,-1.329694576704211,2.21353383458647
META,"Meta Platforms, Inc.",Technology Services,2025-04-23,22.061143984220912,1567955064216.1304,2025-01-29,2186153081.1,9.715450757911546,18339569.2,618.85,22.51639285714282,621.0755551443243,653.0915999999999,-19.42222620092616,-18.51866354053271,573.8631750000003,688.6469,740.91,740.91,574.66,740.91,549.05,414.5,574.66,2.677053001833369,3.790356394129983,-7.3855133193654625,3.790356394129983
AVGO,Broadcom Inc.,Electronic Technology,2025-06-12,41.666666666666664,899247711884.6721,2025-03-06,4607958019.5,9.504723733180644,32314104.1,191.25,8.058378571428335,196.65716247982013,213.27559999999986,-6.2294634873145185,-7.264800727622237,183.10784999999984,219.48,249.59,251.88,177.61,251.88,157.54,119.756,177.61,-20.350665306207446,-0.21392048419075269,-4.101689815975534,-0.21392048419075269
TSLA,"Tesla, Inc.",Consumer Durables,2025-04-29,67.01061851340812,895446216813.6138,2025-01-29,2801563187.84,10.236002217470498,126835015.2000002,278.39,14.895978571428486,266.9622747720237,332.99379999999996,-24.40161717573008,-29.996190425945827,284.6875999999999,342.3973,465.3299,488.5399,217.02,488.5399,212.11,138.8025,217.02,-36.13443450332645,11.933577258654648,-4.979862106628449,11.933577258654648
LLY,Eli Lilly and Company,Health Technology,2025-05-01,12.324675324675322,819915810673.3983,2025-02-06,850002960.982,-7.178656134966031,3564104.8,864.9,26.134357142859017,849.841923539591,837.8120000000004,-4.711672815779025,-2.130617179860478,856.2172000000013,935.625,935.625,972.53,725.01,937,711.4001,711.4001,795.38,9.291481860570904,3.263010852824233,-6.053463389200876,3.263010852824233
WMT,Walmart Inc.,Retail Trade,2025-05-15,42.67775603392041,701394199708.7897,2025-02-20,4362040236.650001,8.159228582024966,26058556.600000024,87.49,2.1736928571427256,89.86062307999389,94.9048000000002,-3.03277767601665,-2.8199577488815466,82.99479999999993,99.49,105.3,105.3,83.87,105.3,78.98,58.555,83.87,-3.186898306960285,1.7562223772970353,-11.276746780245416,1.7562223772970353
